"Gewässer","","'=","Donau 8427",""
"Messstelle","","'=","Immendingen CQQ105 2187",""
"","","'=","Ulm-Wiblingen CQQ803 2198",""
"Parameter","","'=","4 T Temperatur Grad Celsius",""
"Zeitraum","","'=","Tue Dec 01 00:00:00 CET 2015 Sat Aug 31 23:59:59 CEST 2024",""


"Gewässer","GCODE","Messstelle","Ost","Nord","Parameter","Datum","Tagesmittelwert","Dimension"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","05.08.2016","17,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","06.08.2016","16,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","07.08.2016","17,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","08.08.2016","18,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","09.08.2016","18,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","10.08.2016","17,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","11.08.2016","16,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","12.08.2016","16,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","13.08.2016","17","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","14.08.2016","18,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","15.08.2016","19,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","16.08.2016","19,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","17.08.2016","19,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","18.08.2016","18,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","19.08.2016","18,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","20.08.2016","17,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","21.08.2016","17,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","22.08.2016","17,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","23.08.2016","18,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","24.08.2016","19,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","25.08.2016","20,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","26.08.2016","22,4","°C"
