,river,station_id,name,temperature,dt64,geometry
231,Rhein,CXX334,Iffezheim,13.1,1992-10-18,POINT (8.109691899961788 48.83126839719035)
232,Rhein,CXX334,Iffezheim,12.8,1992-10-19,POINT (8.109691899961788 48.83126839719035)
233,Rhein,CXX334,Iffezheim,12.6,1992-10-20,POINT (8.109691899961788 48.83126839719035)
234,Rhein,CXX334,Iffezheim,12.5,1992-10-21,POINT (8.109691899961788 48.83126839719035)
235,Rhein,CXX334,Iffezheim,12.3,1992-10-22,POINT (8.109691899961788 48.83126839719035)
236,Rhein,CXX334,Iffezheim,12.0,1992-10-23,POINT (8.109691899961788 48.83126839719035)
237,Rhein,CXX334,Iffezheim,11.6,1992-10-24,POINT (8.109691899961788 48.83126839719035)
238,Rhein,CXX334,Iffezheim,11.4,1992-10-25,POINT (8.109691899961788 48.83126839719035)
239,Rhein,CXX334,Iffezheim,11.3,1992-10-26,POINT (8.109691899961788 48.83126839719035)
240,Rhein,CXX334,Iffezheim,11.0,1992-10-27,POINT (8.109691899961788 48.83126839719035)
241,Rhein,CXX334,Iffezheim,10.7,1992-10-28,POINT (8.109691899961788 48.83126839719035)
242,Rhein,CXX334,Iffezheim,10.4,1992-10-29,POINT (8.109691899961788 48.83126839719035)
243,Rhein,CXX334,Iffezheim,10.2,1992-10-30,POINT (8.109691899961788 48.83126839719035)
244,Rhein,CXX334,Iffezheim,10.1,1992-10-31,POINT (8.109691899961788 48.83126839719035)
245,Rhein,CXX334,Iffezheim,9.6,1992-11-01,POINT (8.109691899961788 48.83126839719035)
246,Rhein,CXX334,Iffezheim,9.2,1992-11-02,POINT (8.109691899961788 48.83126839719035)
247,Rhein,CXX334,Iffezheim,9.4,1992-11-03,POINT (8.109691899961788 48.83126839719035)
248,Rhein,CXX334,Iffezheim,9.7,1992-11-04,POINT (8.109691899961788 48.83126839719035)
249,Rhein,CXX334,Iffezheim,10.0,1992-11-05,POINT (8.109691899961788 48.83126839719035)
250,Rhein,CXX334,Iffezheim,10.3,1992-11-06,POINT (8.109691899961788 48.83126839719035)
251,Rhein,CXX334,Iffezheim,10.5,1992-11-07,POINT (8.109691899961788 48.83126839719035)
252,Rhein,CXX334,Iffezheim,10.5,1992-11-08,POINT (8.109691899961788 48.83126839719035)
253,Rhein,CXX334,Iffezheim,10.6,1992-11-09,POINT (8.109691899961788 48.83126839719035)
254,Rhein,CXX334,Iffezheim,10.7,1992-11-10,POINT (8.109691899961788 48.83126839719035)
255,Rhein,CXX334,Iffezheim,10.6,1992-11-11,POINT (8.109691899961788 48.83126839719035)
256,Rhein,CXX334,Iffezheim,10.3,1992-11-12,POINT (8.109691899961788 48.83126839719035)
257,Rhein,CXX334,Iffezheim,9.9,1992-11-13,POINT (8.109691899961788 48.83126839719035)
258,Rhein,CXX334,Iffezheim,9.6,1992-11-14,POINT (8.109691899961788 48.83126839719035)
259,Rhein,CXX334,Iffezheim,9.2,1992-11-15,POINT (8.109691899961788 48.83126839719035)
260,Rhein,CXX334,Iffezheim,9.0,1992-11-16,POINT (8.109691899961788 48.83126839719035)
261,Rhein,CXX334,Iffezheim,8.9,1992-11-17,POINT (8.109691899961788 48.83126839719035)
262,Rhein,CXX334,Iffezheim,8.8,1992-11-18,POINT (8.109691899961788 48.83126839719035)
263,Rhein,CXX334,Iffezheim,8.6,1992-11-19,POINT (8.109691899961788 48.83126839719035)
264,Rhein,CXX334,Iffezheim,8.5,1992-11-20,POINT (8.109691899961788 48.83126839719035)
265,Rhein,CXX334,Iffezheim,8.5,1992-11-21,POINT (8.109691899961788 48.83126839719035)
266,Rhein,CXX334,Iffezheim,8.8,1992-11-22,POINT (8.109691899961788 48.83126839719035)
267,Rhein,CXX334,Iffezheim,9.3,1992-11-23,POINT (8.109691899961788 48.83126839719035)
268,Rhein,CXX334,Iffezheim,9.5,1992-11-24,POINT (8.109691899961788 48.83126839719035)
269,Rhein,CXX334,Iffezheim,9.2,1992-11-25,POINT (8.109691899961788 48.83126839719035)
270,Rhein,CXX334,Iffezheim,9.4,1992-11-26,POINT (8.109691899961788 48.83126839719035)
271,Rhein,CXX334,Iffezheim,9.4,1992-11-27,POINT (8.109691899961788 48.83126839719035)
