station_no;time;max(cm)
4284170000100;2023-03-27T00:00:00.000+01:00;
4284170000100;2023-03-28T00:00:00.000+01:00;7.20
4284170000100;2023-03-29T00:00:00.000+01:00;8.20
4284170000100;2023-03-30T00:00:00.000+01:00;9.30
4284170000100;2023-03-31T00:00:00.000+01:00;9.00
4284170000100;2023-04-01T00:00:00.000+01:00;8.80
4284170000100;2023-04-02T00:00:00.000+01:00;7.80
4284170000100;2023-04-03T00:00:00.000+01:00;7.40
4284170000100;2023-04-04T00:00:00.000+01:00;7.40
4284170000100;2023-04-05T00:00:00.000+01:00;7.30
4284170000100;2023-04-06T00:00:00.000+01:00;8.00
4284170000100;2023-04-07T00:00:00.000+01:00;7.50
4284170000100;2023-04-08T00:00:00.000+01:00;8.00
4284170000100;2023-04-09T00:00:00.000+01:00;8.30
4284170000100;2023-04-10T00:00:00.000+01:00;9.30
4284170000100;2023-04-11T00:00:00.000+01:00;9.60
4284170000100;2023-04-12T00:00:00.000+01:00;8.20
4284170000100;2023-04-13T00:00:00.000+01:00;9.00
4284170000100;2023-04-14T00:00:00.000+01:00;9.40
4284170000100;2023-04-15T00:00:00.000+01:00;7.60
4284170000100;2023-04-16T00:00:00.000+01:00;8.50
4284170000100;2023-04-17T00:00:00.000+01:00;9.30
4284170000100;2023-04-18T00:00:00.000+01:00;8.40
4284170000100;2023-04-19T00:00:00.000+01:00;9.70
4284170000100;2023-04-20T00:00:00.000+01:00;7.50
4284170000100;2023-04-21T00:00:00.000+01:00;10.00
4284170000100;2023-04-22T00:00:00.000+01:00;11.60
4284170000100;2023-04-23T00:00:00.000+01:00;11.10
4284170000100;2023-04-24T00:00:00.000+01:00;10.20
4284170000100;2023-04-25T00:00:00.000+01:00;8.50
4284170000100;2023-04-26T00:00:00.000+01:00;7.50
4284170000100;2023-04-27T00:00:00.000+01:00;9.10
4284170000100;2023-04-28T00:00:00.000+01:00;9.70
4284170000100;2023-04-29T00:00:00.000+01:00;9.60
4284170000100;2023-04-30T00:00:00.000+01:00;11.20
4284170000100;2023-05-01T00:00:00.000+01:00;10.80
4284170000100;2023-05-02T00:00:00.000+01:00;10.30
4284170000100;2023-05-03T00:00:00.000+01:00;10.60
4284170000100;2023-05-04T00:00:00.000+01:00;11.50
4284170000100;2023-05-05T00:00:00.000+01:00;12.00
4284170000100;2023-05-06T00:00:00.000+01:00;12.00
4284170000100;2023-05-07T00:00:00.000+01:00;12.30
4284170000100;2023-05-08T00:00:00.000+01:00;12.50
4284170000100;2023-05-09T00:00:00.000+01:00;12.40
4284170000100;2023-05-10T00:00:00.000+01:00;12.60
4284170000100;2023-05-11T00:00:00.000+01:00;11.90
4284170000100;2023-05-12T00:00:00.000+01:00;12.50
4284170000100;2023-05-13T00:00:00.000+01:00;12.30
4284170000100;2023-05-14T00:00:00.000+01:00;12.60
4284170000100;2023-05-15T00:00:00.000+01:00;12.10
4284170000100;2023-05-16T00:00:00.000+01:00;11.10
